u,v,key,osmid,highway,ref,oneway,reversed,length,geometry,name,lanes,maxspeed,junction
364099249,4901484161,0,"[498810883, 1211486484]",residential,,False,"[False, True]",492.440401046059,"LINESTRING (51.1554484 43.6469439, 51.1555754 43.6468267, 51.1556065 43.6467938, 51.1557664 43.6466258, 51.1558692 43.6465206, 51.1552743 43.6462038, 51.1548389 43.6459701, 51.1543698 43.6457182, 51.1541389 43.6455942, 51.1539459 43.6454906, 51.1537161 43.6453672, 51.1535123 43.6452578, 51.1534907 43.6452462, 51.1532373 43.6451101, 51.1525033 43.6445353, 51.1519272 43.6440842, 51.1518837 43.6440501, 51.1517981 43.6439797)",Бульвар Победы,,,
364099286,364099249,0,32343687,residential,,False,True,175.98649718549808,"LINESTRING (51.1543247 43.6482537, 51.154323 43.6480226, 51.1545321 43.6478211, 51.155081 43.6472923, 51.1554484 43.6469439)",,,20,
364099286,364098930,0,32343688,residential,,False,False,153.77191228207423,"LINESTRING (51.1543247 43.6482537, 51.154483 43.6483415, 51.1553187 43.6487765, 51.1553431 43.6487965, 51.1553418 43.6488208, 51.1552345 43.6489062, 51.1552291 43.6489295, 51.1552494 43.6489562, 51.15537 43.6490264, 51.1555489 43.6491224)",,,,
364099286,521806270,0,"[1476560776, 1476560777, 181238027]",residential,,False,False,444.18431956771354,"LINESTRING (51.1543247 43.6482537, 51.1530703 43.6495029, 51.1530248 43.6495434, 51.1526384 43.6499231, 51.1522542 43.6503031, 51.1521967 43.6503549, 51.1518846 43.6506824, 51.1518105 43.650761, 51.1517348 43.6508421, 51.1515817 43.6509938, 51.1514772 43.6510804, 51.1513469 43.6511131, 51.1509218 43.6512198, 51.1508251 43.6512287)",,,,
364099316,1341950459,0,119417652,secondary,,True,False,50.98566436319349,"LINESTRING (51.167423 43.6497554, 51.1673927 43.6502134)",,,,
364099316,521806563,0,42036550,secondary,,False,False,335.9426311912248,"LINESTRING (51.167423 43.6497554, 51.1675331 43.6496437, 51.168223 43.6489442, 51.1691865 43.6479674, 51.1698484 43.6472962)",,4,,
364100678,4897123857,0,499457363,tertiary,,False,True,8.448897195743523,"LINESTRING (51.1615716 43.6430114, 51.161656 43.6430566)",улица Нефтянников,4,,
364100678,417765737,0,"[308010656, 32343683, 471163464, 498810878, 183459421, 308010270]",tertiary,,False,False,598.7264794084156,"LINESTRING (51.1615716 43.6430114, 51.1613604 43.6428992, 51.1593325 43.6418216, 51.1590895 43.6417076, 51.1588416 43.6416176, 51.158598 43.6415462, 51.1575271 43.6412644, 51.1572743 43.6412019, 51.1564844 43.6410065, 51.1558787 43.6408566, 51.1551838 43.6406839, 51.1550595 43.6406532, 51.1549792 43.6406326)",улица Нефтянников,4,,
364100678,364099149,0,1281941360,secondary,,True,False,151.2969235392546,"LINESTRING (51.1615716 43.6430114, 51.1617031 43.6428811, 51.1625766 43.6419951, 51.1626656 43.6419048)",проспект президента Республики Казахстан,2,,
364100683,5500402545,0,572697682,secondary,,True,False,9.878652743810923,"LINESTRING (51.1571245 43.6602158, 51.1571914 43.6601413)",,,,
364100683,5501790515,0,512467411,secondary,,True,False,87.79793591262714,"LINESTRING (51.1571245 43.6602158, 51.1570174 43.6601561, 51.1563307 43.6597945, 51.1562437 43.6597496)",,,,
364100755,13645837052,0,32343673,tertiary,,False,False,164.79629664922422,"LINESTRING (51.1664706 43.6571283, 51.1681287 43.6579986)",,,,
364100755,364102431,0,32343673,tertiary,,False,True,136.38797600405724,"LINESTRING (51.1664706 43.6571283, 51.1655613 43.6566553, 51.1654584 43.6566017, 51.1650972 43.6564092)",,,,
364100755,5500402548,0,32343860,tertiary,,False,True,710.4592600871797,"LINESTRING (51.1664706 43.6571283, 51.1655745 43.658032, 51.164585 43.6590298, 51.1641593 43.659459, 51.1637628 43.6598588, 51.163696 43.6599262, 51.1630805 43.6605468, 51.1629453 43.6606831, 51.1627882 43.6608415, 51.1622354 43.6613989, 51.1614244 43.6622167, 51.1613196 43.6623183)",,,,
364100758,5500402548,0,32343860,tertiary,,False,False,7.414648078949657,"LINESTRING (51.1612661 43.6623726, 51.1613196 43.6623183)",,,,
364100758,5501810893,0,512467411,secondary,,True,False,405.98832612831836,"LINESTRING (51.1612661 43.6623726, 51.1611725 43.6623193, 51.1606454 43.6620416, 51.158648 43.6610006, 51.1585566 43.6609555, 51.1574422 43.6603739, 51.1571716 43.6602382)",,,,
364100765,5500402560,0,187081186,secondary,,True,False,8.011466187979243,"LINESTRING (51.1713472 43.6676956, 51.1714074 43.6676382)",,,,
364100765,5501842214,0,512467411,secondary,,True,False,449.28222974829407,"LINESTRING (51.1713472 43.6676956, 51.1709338 43.6674725, 51.1708581 43.6674317, 51.1704926 43.667237, 51.1689522 43.6664311, 51.1685199 43.6662013, 51.1684073 43.6661414, 51.1669811 43.6653929, 51.1668336 43.6653155)",,,,
364102427,364102431,0,32344129,unclassified,,False,False,379.5125238867199,"LINESTRING (51.1624016 43.65921, 51.1626241 43.6589788, 51.1627278 43.6588711, 51.163439 43.6581321, 51.1637744 43.6577816, 51.1638971 43.6576636, 51.1640347 43.6575132, 51.1641665 43.6573762, 51.164187 43.6573549, 51.1643998 43.6571337, 51.1645882 43.656938, 51.1647144 43.6568069, 51.1650972 43.6564092)",25 микрорайон,,,
364102431,364100755,0,32343673,tertiary,,False,False,136.38797600405724,"LINESTRING (51.1650972 43.6564092, 51.1654584 43.6566017, 51.1655613 43.6566553, 51.1664706 43.6571283)",,,,
364102431,364098973,0,32343673,tertiary,,False,True,225.40723826565323,"LINESTRING (51.1650972 43.6564092, 51.1649904 43.6563583, 51.1642044 43.6559493, 51.1628195 43.6552288)",,,,
364102431,364102427,0,32344129,unclassified,,False,True,379.51252388671986,"LINESTRING (51.1650972 43.6564092, 51.1647144 43.6568069, 51.1645882 43.656938, 51.1643998 43.6571337, 51.164187 43.6573549, 51.1641665 43.6573762, 51.1640347 43.6575132, 51.1638971 43.6576636, 51.1637744 43.6577816, 51.163439 43.6581321, 51.1627278 43.6588711, 51.1626241 43.6589788, 51.1624016 43.65921)",25 микрорайон,,,
417765737,364100678,0,"[308010656, 32343683, 471163464, 183459421, 498810878, 308010270]",tertiary,,False,True,598.7264794084156,"LINESTRING (51.1549792 43.6406326, 51.1550595 43.6406532, 51.1551838 43.6406839, 51.1558787 43.6408566, 51.1564844 43.6410065, 51.1572743 43.6412019, 51.1575271 43.6412644, 51.158598 43.6415462, 51.1588416 43.6416176, 51.1590895 43.6417076, 51.1593325 43.6418216, 51.1613604 43.6428992, 51.1615716 43.6430114)",улица Нефтянников,4,,
417765737,4901484131,0,"[498810880, 498810879]",tertiary,,True,False,305.92882159831913,"LINESTRING (51.1549792 43.6406326, 51.1548878 43.6408134, 51.1539094 43.6418541, 51.1537357 43.6420383, 51.1528631 43.6429108)",Приморский бульвар,,,
417765737,2353791091,0,"[308715554, 308715555, 308715558, 496851761, 499457367, 1386037983]",tertiary,,False,False,367.98240734142405,"LINESTRING (51.1549792 43.6406326, 51.1550578 43.6404946, 51.155151 43.6403084, 51.1552557 43.6400919, 51.1554313 43.6397293, 51.1555556 43.6394727, 51.1556047 43.6393712, 51.1559113 43.638738, 51.1564977 43.6375113)",Приморский бульвар,4,,
417765742,1938284616,0,42036538,tertiary,,False,True,228.79212819623473,"LINESTRING (51.1576434 43.6357478, 51.1578131 43.6358356, 51.1579532 43.6359082, 51.1588314 43.6363631, 51.1589108 43.6364042, 51.1599554 43.6369452)",улица Юбилейная,2,,
417765742,1974286339,0,308715556,tertiary,,False,False,75.14720206707841,"LINESTRING (51.1576434 43.6357478, 51.1577643 43.6356236, 51.1581885 43.6351991)",Приморский бульвар,4,,
417765742,2353791091,0,1385771956,tertiary,,False,True,218.27889730477514,"LINESTRING (51.1576434 43.6357478, 51.1575148 43.63588, 51.1572554 43.6361443, 51.1571267 43.6363067, 51.1570457 43.636409, 51.1569116 43.6366352, 51.1567879 43.6368966, 51.1564977 43.6375113)",Приморский бульвар,4,,
417765747,7544552909,0,263720201,residential,,False,False,310.27837390063087,"LINESTRING (51.1639966 43.6290408, 51.1638691 43.629019, 51.1637083 43.6289695, 51.1637371 43.6288472, 51.1637583 43.6287883, 51.1638009 43.6287205, 51.1639 43.6286235, 51.1640262 43.6285389, 51.16447 43.6282924, 51.1652251 43.6278409, 51.1656982 43.6275871, 51.1658997 43.6274741, 51.1662944 43.6272899)",,,,
417765747,4901484126,0,"[415470113, 308715556]",tertiary,,False,False,765.6473673169038,"LINESTRING (51.1639966 43.6290408, 51.1640288 43.6289456, 51.1640927 43.6288572, 51.1642036 43.6287624, 51.1643373 43.6286876, 51.1644952 43.6286435, 51.164706 43.6286184, 51.1649314 43.6286136, 51.1651566 43.6286253, 51.1653471 43.6286505, 51.1655362 43.6286893, 51.1657548 43.6287554, 51.165968 43.628867, 51.1661235 43.6289748, 51.1662201 43.6290824, 51.1663167 43.6292164, 51.1663836 43.6293489, 51.1664741 43.629579, 51.1670179 43.6309608, 51.167035 43.6310044, 51.1676099 43.6324651, 51.1679405 43.6332669, 51.168134 43.6337883)","['Строительная улица', 'Приморский бульвар']","['4', '2']",,
417765747,1974286339,0,308715556,tertiary,,False,True,851.3666612935558,"LINESTRING (51.1639966 43.6290408, 51.163911 43.6296085, 51.163837 43.6300988, 51.1637954 43.6302988, 51.1637081 43.6304843, 51.1635822 43.6306463, 51.163399 43.630812, 51.1631084 43.6310447, 51.1621265 43.6317978, 51.1620624 43.631848, 51.1614366 43.6323286, 51.160776 43.632836, 51.1604495 43.6330876, 51.1602609 43.6332322, 51.160008 43.6334261, 51.1596602 43.6337123, 51.159511 43.6338649, 51.1593441 43.6340327, 51.158838 43.6345442, 51.1581885 43.6351991)",Приморский бульвар,4,,
417765756,4901484127,0,42036539,tertiary,,False,False,4.73336668243446,"LINESTRING (51.1682599 43.634023, 51.1682058 43.6340397)",,,,
417765756,4897070937,0,498798534,tertiary,,False,False,409.15689622770765,"LINESTRING (51.1682599 43.634023, 51.1683402 43.6339871, 51.1683734 43.6339711, 51.1684295 43.6339455, 51.1693058 43.6335446, 51.169943 43.6332532, 51.1701566 43.6331555, 51.1724841 43.6321208, 51.1725768 43.6320796)",,,,
417765756,4929486389,0,498810847,tertiary,,True,False,163.26857883127107,"LINESTRING (51.1682599 43.634023, 51.1683567 43.6342552, 51.1685389 43.6347187, 51.1686068 43.6348332, 51.1686911 43.6349338, 51.1687732 43.6350052, 51.1688581 43.6350607, 51.1690438 43.6351522, 51.1691354 43.6351996, 51.1692303 43.6352441)",Строительная улица,,,
476262571,476262573,0,39724057,tertiary,,False,False,406.32424842151954,"LINESTRING (51.1843827 43.6385554, 51.1843537 43.6384298, 51.1842004 43.637766, 51.1841548 43.6375688, 51.1841236 43.6374336, 51.1840417 43.6370792, 51.1839924 43.6368655, 51.1839624 43.6367358, 51.1838844 43.6364, 51.1838085 43.6360715, 51.183575 43.6350601, 51.1835601 43.6350133, 51.1835408 43.6349526)",,,,
